truck,stop,offload,start
1,-1,,
1,21,10000,2:04
1,4,10000,21:29
1,-1,,
2,-1,,
2,20,100,18:06
2,14,3000,18:30
2,47,16900,22:58
2,-1,,
3,-1,,
3,25,14250,10:56
3,3,5500,19:28
3,-1,,
4,-1,,
4,31,8250,5:37
4,15,9750,12:36
4,14,1500,18:04
4,-1,,
5,-1,,
5,40,13500,2:34
5,28,3750,21:17
5,-1,,
6,-1,,
6,49,7500,6:26
6,2,3250,13:54
6,41,6750,15:59
6,27,2500,20:02
6,-1,,
7,-1,,
7,42,13250,3:42
7,4,5500,21:29
7,-1,,
8,-1,,
8,47,20000,22:58
8,-1,,
9,-1,,
9,50,3500,0:21
9,29,14000,9:20
9,36,2000,21:09
9,-1,,
10,0,,
10,23,6500,6:20
10,7,750,12:15
10,48,4000,20:38
10,24,6750,21:28
10,0,,
11,0,,
11,26,5800,1:39
11,8,13750,6:41
11,0,,
12,0,,
12,26,20000,1:39
12,0,,
13,0,,
13,6,3250,7:53
13,44,6500,14:35
13,32,10000,18:08
13,0,,
14,0,,
14,16,750,0:23
14,45,9500,9:57
14,30,3250,17:58
14,32,5000,18:45
14,0,,
15,0,,
15,38,18750,17:25
15,0,,
16,0,,
16,5,1500,3:41
16,35,1500,9:29
16,17,4000,18:35
16,43,8250,21:56
16,0,,
17,-2,,
17,12,3250,4:59
17,22,4750,16:58
17,9,2000,18:53
17,39,8750,22:49
17,-2,,
18,-2,,
18,1,2500,2:07
18,11,2500,9:18
18,34,1250,12:44
18,18,13250,17:07
18,-2,,
19,-2,,
19,10,2000,10:03
19,19,14750,15:33
19,33,3250,20:45
19,-2,,
20,-2,,
20,46,3500,6:43
20,37,5750,7:40
20,13,6250,8:15
20,-2,,